"lon" "lat" "eventDate"
-122.0395 36.5923 2015-05-10
-122.1778 36.5925 2015-05-10
-122.1228 36.713 2015-05-10
-122.0322 36.5828 2015-05-19
-122.1837 36.585 2015-05-19
-122.1155 36.7097 2015-05-19
-122.3298 36.5865 2015-05-19
-121.9477 36.6557 2015-05-07
-121.8773 36.7678 2015-05-07
-121.9843 36.7453 2015-05-07
-121.962 36.831 2015-05-07
-122.2922 36.9833 2015-05-08
-122.4152 36.9835 2015-05-08
-122.5792 36.9848 2015-05-08
-122.5657 37.2757 2015-05-09
-122.8423 37.2817 2015-05-09
-122.9882 37.2842 2015-05-09
-123.1532 37.2787 2015-05-09
-122.5865 37.2803 2015-05-20
-122.8288 37.2855 2015-05-20
-122.9932 37.2817 2015-05-20
-123.1443 37.2783 2015-05-20
-122.894 37.6993 2015-05-02
-122.8527 37.7788 2015-05-02
-122.8245 37.5935 2015-05-02
-122.9153 37.7105 2015-05-24
-122.8783 37.8002 2015-05-24
-122.823 37.5968 2015-05-24
-123.053 37.6657 2015-05-21
-123.1403 37.7445 2015-05-21
-123.3367 37.8828 2015-05-21
-123.5073 37.8828 2015-05-21
-123.0093 38.1697 2015-05-31
-123.1745 38.1723 2015-05-31
-123.4897 38.1717 2015-05-31
-118.2167 32.72 2015-05-13
-118.4613 32.718 2015-05-13
-118.7625 32.717 2015-05-13
-119.0127 32.7235 2015-05-13
-119.308 33.6888 2015-05-15
-119.4445 33.59 2015-05-15
-119.592 33.4932 2015-05-15
-119.7528 33.3902 2015-05-15
-120.2948 34.3238 2015-05-12
-120.4805 34.197 2015-05-16
-120.5802 34.0527 2015-05-16
-120.7287 33.9228 2015-05-16
-121.4367 35.7117 2015-05-11
-121.3683 35.7088 2015-05-18
-121.5062 35.711 2015-05-18
-121.7038 35.7083 2015-05-18
-123.3753 38.4648 2015-05-03
-123.7202 38.4713 2015-05-03
-124.0687 38.4702 2015-05-03
-123.3932 38.4727 2015-05-25
-123.7183 38.4742 2015-05-25
-123.7852 39.138 2015-05-04
-124.0075 39.146 2015-05-04
-124.3248 39.1378 2015-05-04
-123.7832 39.1325 2015-05-30
-123.9988 39.1402 2015-05-30
-124.323 39.143 2015-05-30
-123.9168 39.8327 2015-05-05
-124.1057 39.8347 2015-05-05
-124.4002 39.8403 2015-05-05
-124.1253 39.833 2015-05-26
-124.4112 39.8427 2015-05-26
-124.7032 39.8423 2015-05-26
-117.7528 33.021 2015-05-14
-117.5892 32.9247 2015-05-14
-117.433 32.824 2015-05-14
-117.3323 32.7052 2015-05-14
-120.8033 35.0057 2015-05-17
-120.9712 35.0025 2015-05-17
-121.1138 35.0047 2015-05-17
-124.6188 40.4965 2015-05-27
-124.7325 40.5057 2015-05-27
-124.9357 40.5128 2015-05-27
-124.274 41.0095 2015-05-29
-124.495 41.0098 2015-05-29
-124.7172 41.0073 2015-05-29
-124.269 41.5048 2015-05-28
-124.4912 41.5047 2015-05-28
-124.709 41.5057 2015-05-28
-121.9515 36.3027 2015-06-11
-122.1002 36.3062 2015-06-11
-122.306 36.3042 2015-06-11
-122.0422 36.5928 2015-06-12
-122.1725 36.582 2015-06-12
-122.1143 36.7093 2015-06-12
-122.3408 36.5918 2015-06-12
-121.8852 36.7763 2015-06-03
-121.9852 36.7467 2015-06-03
-121.987 36.8448 2015-06-03
-122.3835 36.9863 2015-06-02
-122.6257 36.9907 2015-06-02
-122.762 36.9943 2015-06-02
-122.6555 37.2793 2015-06-13
-122.8253 37.2863 2015-06-13
-122.9857 37.2845 2015-06-13
-123.1397 37.2793 2015-06-13
-123.0465 37.6667 2015-06-01
-123.1288 37.7362 2015-06-01
-123.3143 37.8863 2015-06-01
-123.4998 37.8867 2015-06-01
-123.203 37.6687 2015-06-14
-123.1423 37.7478 2015-06-14
-123.3168 37.8852 2015-06-14
-123.5132 37.893 2015-06-14
-118.4543 32.7175 2015-06-06
-118.7528 32.7167 2015-06-06
-119.0192 32.719 2015-06-06
-119.2927 33.6967 2015-06-08
-119.4562 33.5918 2015-06-08
-119.6105 33.491 2015-06-08
-119.7738 33.3902 2015-06-08
-120.3198 34.324 2015-06-05
-120.4717 34.1978 2015-06-05
-120.6 34.076 2015-06-05
-120.4823 34.1958 2015-06-09
-120.6148 34.0698 2015-06-09
-120.7163 33.922 2015-06-09
-121.4017 35.7218 2015-06-04
-121.5127 35.7068 2015-06-04
-117.7557 33.0223 2015-06-07
-117.3522 32.7097 2015-06-07
-120.7938 35.0015 2015-06-10
-120.9823 35.0102 2015-06-10
-121.1222 35.01 2015-06-10
-121.945624 36.51312 2015-07-20
-122.0343 36.5842 2014-05-17
-122.1758 36.5838 2014-05-17
-122.1052 36.7012 2014-05-17
-121.9468 36.6567 2014-05-18
-121.8713 36.7687 2014-05-18
-121.973 36.7412 2014-05-18
-121.9663 36.8277 2014-05-18
-121.8687 36.7687 2014-05-07
-121.973 36.74 2014-05-07
-121.876 36.7872 2014-05-28
-121.909 36.7085 2014-05-28
